133.435,35.1033,2012/07/01,00:10,0.5,20.4,1.9,180.0,4.5,157.5
133.435,35.1033,2012/07/01,00:20,1.5,20.5,2.7,202.5,5.0,202.5
133.435,35.1033,2012/07/01,00:30,1.0,20.5,2.3,202.5,5.6,180.0
133.435,35.1033,2012/07/01,00:40,0.5,20.5,2.3,202.5,5.2,157.5
133.435,35.1033,2012/07/01,00:50,1.5,20.6,2.8,180.0,6.4,202.5
133.435,35.1033,2012/07/01,01:00,0.5,20.7,2.7,225.0,4.8,225.0
133.435,35.1033,2012/07/01,01:10,0.0,20.6,2.0,202.5,5.1,180.0
133.435,35.1033,2012/07/01,01:20,0.5,20.6,1.8,202.5,3.6,180.0
133.435,35.1033,2012/07/01,01:30,0.0,20.7,1.5,180.0,5.8,180.0
133.435,35.1033,2012/07/01,01:40,0.0,20.7,2.1,157.5,5.8,202.5
133.435,35.1033,2012/07/01,01:50,0.5,20.7,2.4,180.0,6.0,180.0
133.435,35.1033,2012/07/01,02:00,0.0,20.7,2.6,180.0,6.2,202.5
133.435,35.1033,2012/07/01,02:10,0.0,20.7,2.3,157.5,5.0,180.0
133.435,35.1033,2012/07/01,02:20,0.0,20.8,2.4,180.0,5.7,157.5
133.435,35.1033,2012/07/01,02:30,0.5,20.8,1.6,202.5,3.1,157.5
133.435,35.1033,2012/07/01,02:40,0.0,20.8,2.1,180.0,5.3,202.5
133.435,35.1033,2012/07/01,02:50,0.0,20.8,1.6,225.0,4.0,225.0
133.435,35.1033,2012/07/01,03:00,0.0,20.8,1.5,180.0,3.4,157.5
133.435,35.1033,2012/07/01,03:10,0.5,20.8,1.9,202.5,4.2,180.0
133.435,35.1033,2012/07/01,03:20,0.0,20.8,2.0,157.5,5.7,202.5
133.435,35.1033,2012/07/01,03:30,0.0,20.8,1.9,157.5,4.2,157.5
133.435,35.1033,2012/07/01,03:40,0.0,20.8,2.4,157.5,5.7,157.5
133.435,35.1033,2012/07/01,03:50,0.0,20.8,2.4,180.0,4.5,180.0
133.435,35.1033,2012/07/01,04:00,0.5,20.9,1.6,202.5,3.8,202.5
133.435,35.1033,2012/07/01,04:10,1.0,20.9,2.0,180.0,4.8,180.0
133.435,35.1033,2012/07/01,04:20,0.5,20.9,1.8,202.5,4.3,202.5
133.435,35.1033,2012/07/01,04:30,0.0,20.9,1.6,180.0,4.2,202.5
133.435,35.1033,2012/07/01,04:40,0.0,20.9,1.8,202.5,4.1,157.5
133.435,35.1033,2012/07/01,04:50,0.0,20.9,2.0,180.0,4.4,157.5
133.435,35.1033,2012/07/01,05:00,0.5,21.0,1.9,157.5,4.7,135.0,0
133.435,35.1033,2012/07/01,05:10,0.0,21.0,1.9,180.0,4.5,180.0,0
133.435,35.1033,2012/07/01,05:20,1.0,21.0,2.6,157.5,5.6,157.5,0
133.435,35.1033,2012/07/01,05:30,0.0,21.0,3.1,157.5,6.3,157.5,0
133.435,35.1033,2012/07/01,05:40,0.0,21.0,1.6,157.5,3.6,157.5,0
133.435,35.1033,2012/07/01,05:50,0.5,21.0,1.2,135.0,3.1,135.0,0
133.435,35.1033,2012/07/01,06:00,0.0,21.0,2.0,157.5,4.4,135.0,0
133.435,35.1033,2012/07/01,06:10,0.0,21.0,3.1,157.5,5.6,135.0,0
133.435,35.1033,2012/07/01,06:20,0.0,21.0,3.0,157.5,5.2,180.0,0
133.435,35.1033,2012/07/01,06:30,0.0,21.1,2.5,157.5,4.9,180.0,0
133.435,35.1033,2012/07/01,06:40,0.5,21.0,2.3,157.5,5.1,135.0,0
133.435,35.1033,2012/07/01,06:50,0.0,21.1,1.8,157.5,3.6,157.5,0
133.435,35.1033,2012/07/01,07:00,0.5,21.2,2.0,157.5,4.5,157.5,0
133.435,35.1033,2012/07/01,07:10,0.0,21.3,2.2,157.5,5.0,135.0,0
133.435,35.1033,2012/07/01,07:20,0.0,21.3,2.9,157.5,5.8,157.5,0
133.435,35.1033,2012/07/01,07:30,0.0,21.3,2.1,157.5,5.0,135.0,0
133.435,35.1033,2012/07/01,07:40,0.0,21.4,2.0,157.5,4.1,135.0,0
133.435,35.1033,2012/07/01,07:50,1.0,21.5,2.1,157.5,5.4,225.0,0
133.435,35.1033,2012/07/01,08:00,0.0,21.5,2.0,135.0,5.0,157.5,0
133.435,35.1033,2012/07/01,08:10,0.5,21.6,1.6,157.5,4.3,180.0,0
133.435,35.1033,2012/07/01,08:20,0.5,21.7,1.9,157.5,3.6,135.0,0
133.435,35.1033,2012/07/01,08:30,0.0,21.7,1.3,180.0,3.0,135.0,0
133.435,35.1033,2012/07/01,08:40,0.0,21.8,1.1,180.0,3.2,135.0,0
133.435,35.1033,2012/07/01,08:50,0.0,21.8,0.8,180.0,1.5,90.0,0
133.435,35.1033,2012/07/01,09:00,0.5,21.7,0.7,202.5,1.7,135.0,0
133.435,35.1033,2012/07/01,09:10,2.5,21.8,0.9,180.0,2.0,202.5,0
133.435,35.1033,2012/07/01,09:20,2.5,21.8,0.3,292.5,1.4,225.0,0
133.435,35.1033,2012/07/01,09:30,2.5,21.8,0.8,292.5,1.7,0.0,0
133.435,35.1033,2012/07/01,09:40,4.5,21.8,0.6,315.0,1.8,112.5,0
133.435,35.1033,2012/07/01,09:50,0.5,22.2,0.4,90.0,1.0,67.5,0
133.435,35.1033,2012/07/01,10:00,1.0,22.2,0.5,45.0,1.2,90.0,0
133.435,35.1033,2012/07/01,10:10,0.5,22.5,0.3,135.0,1.0,180.0,0
133.435,35.1033,2012/07/01,10:20,0.0,22.8,0.5,135.0,1.0,315.0,0
