135.787,34.045,2012/08/14,12:10,0.0,25.3,0.1,-999.,0.8,22.5,0
135.787,34.045,2012/08/14,12:20,0.0,25.0,0.0,-999.,0.6,45.0,0
135.787,34.045,2012/08/14,12:30,0.0,25.1,0.1,-999.,0.6,22.5,0
135.787,34.045,2012/08/14,12:40,0.0,25.1,0.0,-999.,0.2,180.0,0
135.787,34.045,2012/08/14,12:50,0.0,25.0,0.0,-999.,0.0,67.5,0
135.787,34.045,2012/08/14,13:00,0.0,25.3,0.1,-999.,0.7,337.5,0
135.787,34.045,2012/08/14,13:10,0.5,25.3,0.0,-999.,0.4,67.5,0
135.787,34.045,2012/08/14,13:20,0.0,25.5,0.0,-999.,0.0,67.5,0
135.787,34.045,2012/08/14,13:30,0.0,25.4,0.0,-999.,0.0,180.0,0
135.787,34.045,2012/08/14,13:40,0.0,25.4,0.1,-999.,0.6,22.5,0
135.787,34.045,2012/08/14,13:50,0.0,25.4,0.1,-999.,0.8,22.5,0
135.787,34.045,2012/08/14,14:00,0.0,25.7,0.4,22.5,0.8,0.0,0
135.787,34.045,2012/08/14,14:10,0.0,25.7,0.0,-999.,0.6,22.5,0
135.787,34.045,2012/08/14,14:20,0.0,25.9,0.0,-999.,0.2,90.0,0
135.787,34.045,2012/08/14,14:30,0.0,26.1,0.1,-999.,1.0,157.5,0
135.787,34.045,2012/08/14,14:40,0.0,25.8,0.1,-999.,0.7,247.5,0
135.787,34.045,2012/08/14,14:50,0.0,25.7,0.2,-999.,1.0,247.5,0
135.787,34.045,2012/08/14,15:00,0.0,25.8,0.0,-999.,0.3,45.0,0
135.787,34.045,2012/08/14,15:10,0.0,26.1,0.1,-999.,0.5,112.5,0
135.787,34.045,2012/08/14,15:20,0.0,26.0,0.6,202.5,1.6,225.0,0
135.787,34.045,2012/08/14,15:30,0.0,25.9,0.5,225.0,1.6,225.0,0
135.787,34.045,2012/08/14,15:40,0.0,25.8,0.5,157.5,1.6,247.5,0
135.787,34.045,2012/08/14,15:50,0.0,25.7,0.4,22.5,1.2,22.5,0
135.787,34.045,2012/08/14,16:00,0.0,25.6,0.0,-999.,0.6,157.5,0
135.787,34.045,2012/08/14,16:10,0.0,25.3,0.1,-999.,0.6,337.5,0
135.787,34.045,2012/08/14,16:20,0.0,25.4,0.0,-999.,0.6,337.5,0
135.787,34.045,2012/08/14,16:30,0.0,25.4,0.1,-999.,0.8,202.5,0
135.787,34.045,2012/08/14,16:40,0.0,25.5,0.0,-999.,0.5,135.0,0
135.787,34.045,2012/08/14,16:50,0.0,25.2,0.3,180.0,2.1,225.0,0
135.787,34.045,2012/08/14,17:00,0.0,25.3,0.0,-999.,0.4,180.0,0
135.787,34.045,2012/08/14,17:10,0.0,25.1,0.4,0.0,1.1,22.5,0
135.787,34.045,2012/08/14,17:20,0.0,25.2,0.1,-999.,0.8,337.5,0
135.787,34.045,2012/08/14,17:30,0.0,24.9,0.0,-999.,0.5,112.5,0
135.787,34.045,2012/08/14,17:40,0.0,24.9,0.0,-999.,0.0,45.0,0
135.787,34.045,2012/08/14,17:50,0.0,24.5,0.3,22.5,1.1,0.0,0
135.787,34.045,2012/08/14,18:00,0.0,24.5,0.0,-999.,0.5,45.0,0
135.787,34.045,2012/08/14,18:10,0.0,24.5,0.0,-999.,0.0,112.5,0
135.787,34.045,2012/08/14,18:20,0.0,24.3,0.1,-999.,0.6,22.5,0
135.787,34.045,2012/08/14,18:30,0.0,24.2,0.2,-999.,0.8,0.0,0
135.787,34.045,2012/08/14,18:40,0.0,24.1,0.1,-999.,0.7,0.0,0
135.787,34.045,2012/08/14,18:50,0.0,24.2,0.7,337.5,1.4,337.5,0
135.787,34.045,2012/08/14,19:00,0.0,24.0,0.0,-999.,0.2,337.5
135.787,34.045,2012/08/14,19:10,0.0,24.0,0.0,-999.,0.2,22.5
135.787,34.045,2012/08/14,19:20,0.0,24.0,0.0,-999.,0.0,337.5
135.787,34.045,2012/08/14,19:30,0.0,23.9,0.1,-999.,0.6,0.0
135.787,34.045,2012/08/14,19:40,0.0,23.9,0.0,-999.,0.5,45.0
135.787,34.045,2012/08/14,19:50,0.0,23.8,0.0,-999.,0.0,315.0
135.787,34.045,2012/08/14,20:00,0.0,23.9,0.1,-999.,0.6,22.5
135.787,34.045,2012/08/14,20:10,0.0,23.8,0.0,-999.,0.0,22.5
135.787,34.045,2012/08/14,20:20,0.5,23.9,0.3,225.0,1.2,180.0
135.787,34.045,2012/08/14,20:30,0.0,23.8,0.2,-999.,1.1,180.0
135.787,34.045,2012/08/14,20:40,0.0,23.7,0.3,22.5,0.7,0.0
135.787,34.045,2012/08/14,20:50,0.0,23.7,0.2,-999.,0.6,0.0
135.787,34.045,2012/08/14,21:00,0.0,23.7,0.3,0.0,0.8,0.0
135.787,34.045,2012/08/14,21:10,0.0,23.6,0.1,-999.,0.7,22.5
135.787,34.045,2012/08/14,21:20,0.0,23.6,0.0,-999.,0.0,0.0
135.787,34.045,2012/08/14,21:30,0.0,23.6,0.1,-999.,0.6,337.5
135.787,34.045,2012/08/14,21:40,0.0,23.6,0.0,-999.,0.0,22.5
135.787,34.045,2012/08/14,21:50,0.0,23.4,0.2,-999.,0.8,0.0
135.787,34.045,2012/08/14,22:00,0.0,23.4,0.0,-999.,0.6,22.5
135.787,34.045,2012/08/14,22:10,0.0,23.3,0.0,-999.,0.0,112.5
135.787,34.045,2012/08/14,22:20,0.0,23.4,0.2,-999.,0.7,0.0
135.787,34.045,2012/08/14,22:30,0.0,23.4,0.0,-999.,0.0,157.5
135.787,34.045,2012/08/14,22:40,0.0,23.4,0.0,-999.,0.0,45.0
135.787,34.045,2012/08/14,22:50,0.0,23.3,0.0,-999.,0.0,337.5
135.787,34.045,2012/08/14,23:00,0.0,23.3,0.0,-999.,0.0,67.5
135.787,34.045,2012/08/14,23:10,0.0,23.3,0.0,-999.,0.9,22.5
135.787,34.045,2012/08/14,23:20,0.0,23.2,0.0,-999.,0.3,0.0
135.787,34.045,2012/08/14,23:30,0.0,23.1,0.0,-999.,0.0,45.0
135.787,34.045,2012/08/14,23:40,0.0,23.1,0.0,-999.,0.0,225.0
135.787,34.045,2012/08/14,23:50,0.0,23.2,0.0,-999.,0.0,337.5
135.787,34.045,2012/08/14,24:00,0.0,23.1,0.0,-999.,0.0,45.0
