135,34.28,2012/08/14,12:40,0.0,26.5,2.9,202.5,3.8,202.5,0
135,34.28,2012/08/14,12:50,0.0,26.5,3.0,202.5,3.7,202.5,0
135,34.28,2012/08/14,13:00,0.5,26.6,2.6,202.5,3.6,202.5,0
135,34.28,2012/08/14,13:10,0.0,26.7,3.0,180.0,3.8,202.5,0
135,34.28,2012/08/14,13:20,0.0,26.8,3.3,180.0,4.2,180.0,0
135,34.28,2012/08/14,13:30,0.0,26.7,3.5,180.0,4.2,180.0,0
135,34.28,2012/08/14,13:40,0.0,27.1,3.2,157.5,3.9,157.5,0
135,34.28,2012/08/14,13:50,0.0,27.2,2.8,180.0,3.8,157.5,0
135,34.28,2012/08/14,14:00,0.0,27.4,3.4,157.5,4.5,157.5,0
135,34.28,2012/08/14,14:10,0.0,27.6,5.0,157.5,7.3,157.5,7
135,34.28,2012/08/14,14:20,0.0,27.6,6.7,180.0,8.8,180.0,10
135,34.28,2012/08/14,14:30,0.0,28.0,6.4,180.0,7.9,180.0,9
135,34.28,2012/08/14,14:40,0.0,28.8,5.5,180.0,6.8,180.0,9
135,34.28,2012/08/14,14:50,0.0,29.5,5.1,180.0,5.8,180.0,7
135,34.28,2012/08/14,15:00,0.0,29.3,5.8,180.0,7.3,180.0,5
135,34.28,2012/08/14,15:10,0.0,28.1,6.2,180.0,7.1,180.0,0
135,34.28,2012/08/14,15:20,0.0,27.7,6.8,180.0,8.7,180.0,0
135,34.28,2012/08/14,15:30,0.0,27.4,7.4,180.0,8.7,180.0,0
135,34.28,2012/08/14,15:40,0.0,27.2,6.8,180.0,7.8,180.0,0
135,34.28,2012/08/14,15:50,0.0,27.0,7.7,180.0,9.5,180.0,0
135,34.28,2012/08/14,16:00,0.0,27.0,9.2,180.0,10.4,180.0,0
135,34.28,2012/08/14,16:10,0.0,27.0,9.4,180.0,10.7,180.0,0
135,34.28,2012/08/14,16:20,0.0,26.9,10.4,180.0,11.8,180.0,0
135,34.28,2012/08/14,16:30,0.0,26.9,10.3,180.0,11.7,180.0,0
135,34.28,2012/08/14,16:40,0.0,27.0,9.9,180.0,11.5,180.0,0
135,34.28,2012/08/14,16:50,0.0,26.9,9.7,180.0,11.2,180.0,0
135,34.28,2012/08/14,17:00,0.0,26.9,9.6,180.0,10.9,180.0,0
135,34.28,2012/08/14,17:10,0.0,26.9,9.6,180.0,11.1,180.0,0
135,34.28,2012/08/14,17:20,0.0,26.9,10.2,180.0,11.4,180.0,0
135,34.28,2012/08/14,17:30,0.0,27.0,10.6,180.0,12.3,180.0,0
135,34.28,2012/08/14,17:40,0.0,26.9,10.8,180.0,12.6,180.0,0
135,34.28,2012/08/14,17:50,0.0,26.9,10.6,180.0,12.1,180.0,0
135,34.28,2012/08/14,18:00,0.0,27.0,10.0,180.0,11.4,157.5,0
135,34.28,2012/08/14,18:10,0.0,27.0,10.0,180.0,11.5,180.0,0
135,34.28,2012/08/14,18:20,0.0,27.0,10.0,180.0,11.5,180.0,0
135,34.28,2012/08/14,18:30,0.0,27.0,9.8,180.0,11.1,180.0,0
135,34.28,2012/08/14,18:40,0.0,27.0,10.4,180.0,11.5,180.0,0
135,34.28,2012/08/14,18:50,0.0,27.0,10.2,180.0,11.6,180.0,0
135,34.28,2012/08/14,19:00,0.0,27.0,8.8,157.5,10.7,180.0
135,34.28,2012/08/14,19:10,0.0,27.0,8.9,157.5,10.7,157.5
135,34.28,2012/08/14,19:20,0.0,27.0,8.8,157.5,11.0,157.5
135,34.28,2012/08/14,19:30,0.0,27.0,8.7,157.5,10.9,180.0
135,34.28,2012/08/14,19:40,0.0,27.0,8.4,157.5,10.1,180.0
135,34.28,2012/08/14,19:50,0.0,27.0,8.4,180.0,10.3,180.0
135,34.28,2012/08/14,20:00,0.0,27.0,8.2,157.5,10.2,157.5
135,34.28,2012/08/14,20:10,0.0,27.0,8.1,157.5,10.2,180.0
135,34.28,2012/08/14,20:20,0.0,27.0,8.0,157.5,10.2,157.5
135,34.28,2012/08/14,20:30,0.0,27.0,7.3,157.5,10.1,157.5
135,34.28,2012/08/14,20:40,0.0,27.1,7.2,157.5,10.2,157.5
135,34.28,2012/08/14,20:50,0.0,27.1,7.9,157.5,10.6,157.5
135,34.28,2012/08/14,21:00,0.0,27.1,8.0,157.5,10.5,157.5
135,34.28,2012/08/14,21:10,0.0,27.1,7.9,157.5,10.1,180.0
135,34.28,2012/08/14,21:20,0.0,27.2,7.1,157.5,9.8,157.5
135,34.28,2012/08/14,21:30,0.0,27.2,7.0,157.5,9.9,157.5
135,34.28,2012/08/14,21:40,0.0,27.1,7.7,157.5,9.8,157.5
135,34.28,2012/08/14,21:50,0.0,27.2,7.9,157.5,10.9,157.5
135,34.28,2012/08/14,22:00,0.0,27.2,7.2,157.5,10.0,157.5
135,34.28,2012/08/14,22:10,0.0,27.2,6.5,157.5,8.8,157.5
135,34.28,2012/08/14,22:20,0.0,27.1,6.6,157.5,9.4,157.5
135,34.28,2012/08/14,22:30,0.0,27.1,6.5,157.5,9.0,157.5
135,34.28,2012/08/14,22:40,0.0,27.1,6.7,157.5,10.8,157.5
135,34.28,2012/08/14,22:50,0.0,27.1,6.1,157.5,9.2,157.5
135,34.28,2012/08/14,23:00,0.0,27.1,5.6,157.5,8.4,157.5
135,34.28,2012/08/14,23:10,0.0,27.1,5.7,157.5,8.5,157.5
135,34.28,2012/08/14,23:20,0.0,27.1,6.5,157.5,9.8,157.5
135,34.28,2012/08/14,23:30,0.0,27.0,6.4,157.5,9.5,157.5
135,34.28,2012/08/14,23:40,0.0,27.0,7.0,157.5,10.1,157.5
135,34.28,2012/08/14,23:50,0.0,27.1,6.6,157.5,9.5,157.5
135,34.28,2012/08/14,24:00,0.0,27.1,7.2,157.5,9.6,157.5
