134.72,34.2183,2012/07/01,00:10,0.0,23.9,3.4,135.0,7.2,112.5
134.72,34.2183,2012/07/01,00:20,0.0,23.9,3.6,157.5,8.3,135.0
134.72,34.2183,2012/07/01,00:30,0.0,24.0,4.0,157.5,8.2,157.5
134.72,34.2183,2012/07/01,00:40,0.0,24.0,3.9,157.5,8.2,157.5
134.72,34.2183,2012/07/01,00:50,0.0,24.0,3.9,135.0,9.1,135.0
134.72,34.2183,2012/07/01,01:00,0.0,24.0,4.1,157.5,8.5,157.5
134.72,34.2183,2012/07/01,01:10,0.0,24.1,5.1,157.5,9.3,135.0
134.72,34.2183,2012/07/01,01:20,0.0,24.1,5.0,157.5,9.1,157.5
134.72,34.2183,2012/07/01,01:30,0.0,24.1,4.0,135.0,7.5,135.0
134.72,34.2183,2012/07/01,01:40,0.0,24.1,4.2,157.5,8.7,157.5
134.72,34.2183,2012/07/01,01:50,0.0,24.1,2.9,135.0,6.9,157.5
134.72,34.2183,2012/07/01,02:00,0.0,24.2,3.0,135.0,7.4,157.5
134.72,34.2183,2012/07/01,02:10,0.0,24.4,3.7,157.5,10.6,157.5
134.72,34.2183,2012/07/01,02:20,0.0,24.4,4.7,157.5,9.7,112.5
134.72,34.2183,2012/07/01,02:30,0.0,24.4,4.4,157.5,8.9,157.5
134.72,34.2183,2012/07/01,02:40,0.0,24.4,4.3,157.5,9.0,157.5
134.72,34.2183,2012/07/01,02:50,0.0,24.5,4.5,157.5,8.6,180.0
134.72,34.2183,2012/07/01,03:00,0.0,24.4,5.3,157.5,9.5,157.5
134.72,34.2183,2012/07/01,03:10,0.0,24.4,4.9,135.0,10.2,157.5
134.72,34.2183,2012/07/01,03:20,0.0,24.3,3.7,135.0,6.9,112.5
134.72,34.2183,2012/07/01,03:30,0.0,24.4,5.4,157.5,10.1,157.5
134.72,34.2183,2012/07/01,03:40,0.0,24.4,4.2,135.0,8.8,157.5
134.72,34.2183,2012/07/01,03:50,0.0,24.6,5.3,157.5,11.6,135.0
134.72,34.2183,2012/07/01,04:00,0.0,24.5,5.7,135.0,9.6,157.5
134.72,34.2183,2012/07/01,04:10,0.0,24.4,5.4,135.0,10.6,135.0
134.72,34.2183,2012/07/01,04:20,0.0,24.4,5.2,157.5,8.5,157.5
134.72,34.2183,2012/07/01,04:30,0.0,24.4,4.8,135.0,8.6,112.5
134.72,34.2183,2012/07/01,04:40,0.0,24.4,4.4,135.0,7.9,157.5
134.72,34.2183,2012/07/01,04:50,0.0,24.4,4.8,157.5,9.7,157.5
134.72,34.2183,2012/07/01,05:00,0.0,24.4,3.7,135.0,9.5,157.5,0
134.72,34.2183,2012/07/01,05:10,0.5,24.3,4.4,157.5,9.3,180.0,0
134.72,34.2183,2012/07/01,05:20,0.0,24.3,4.6,157.5,8.0,157.5,0
134.72,34.2183,2012/07/01,05:30,0.0,24.3,4.7,135.0,9.6,157.5,0
134.72,34.2183,2012/07/01,05:40,0.0,24.3,5.0,135.0,10.2,157.5,0
134.72,34.2183,2012/07/01,05:50,0.0,24.2,4.9,157.5,9.1,157.5,0
134.72,34.2183,2012/07/01,06:00,0.0,24.3,5.3,135.0,9.3,135.0,0
134.72,34.2183,2012/07/01,06:10,0.0,24.3,5.0,135.0,8.8,157.5,0
134.72,34.2183,2012/07/01,06:20,0.0,24.4,4.9,135.0,10.3,157.5,0
134.72,34.2183,2012/07/01,06:30,0.0,24.4,4.9,135.0,12.6,157.5,0
134.72,34.2183,2012/07/01,06:40,0.0,24.4,4.4,135.0,8.6,157.5,0
134.72,34.2183,2012/07/01,06:50,0.0,24.5,4.6,135.0,10.1,157.5,0
134.72,34.2183,2012/07/01,07:00,0.0,24.6,4.8,135.0,10.2,135.0,0
134.72,34.2183,2012/07/01,07:10,0.0,24.6,4.6,135.0,10.7,157.5,0
134.72,34.2183,2012/07/01,07:20,0.0,24.5,3.8,135.0,8.7,157.5,0
134.72,34.2183,2012/07/01,07:30,0.0,24.5,4.0,135.0,8.7,157.5,0
134.72,34.2183,2012/07/01,07:40,0.0,24.6,3.7,135.0,6.8,135.0,0
134.72,34.2183,2012/07/01,07:50,0.0,24.7,5.2,135.0,10.1,157.5,0
134.72,34.2183,2012/07/01,08:00,0.0,24.8,4.9,135.0,9.1,135.0,0
134.72,34.2183,2012/07/01,08:10,0.0,24.7,4.3,135.0,9.3,157.5,0
134.72,34.2183,2012/07/01,08:20,0.0,24.7,3.8,135.0,7.1,135.0,0
134.72,34.2183,2012/07/01,08:30,0.5,24.7,3.2,135.0,7.8,135.0,0
134.72,34.2183,2012/07/01,08:40,0.0,24.9,2.8,135.0,5.7,157.5,0
134.72,34.2183,2012/07/01,08:50,0.0,25.1,2.6,135.0,4.5,112.5,0
134.72,34.2183,2012/07/01,09:00,0.0,25.9,3.3,135.0,6.7,135.0,7
134.72,34.2183,2012/07/01,09:10,0.0,26.3,2.5,135.0,5.8,157.5,8
134.72,34.2183,2012/07/01,09:20,0.0,26.7,2.5,135.0,5.7,135.0,5
