135.013,34.7767,2012/07/01,00:10,0.0,22.9,2.1,157.5,4.3,180.0
135.013,34.7767,2012/07/01,00:20,0.0,22.9,1.9,157.5,3.6,157.5
135.013,34.7767,2012/07/01,00:30,0.0,22.9,1.6,157.5,3.1,135.0
135.013,34.7767,2012/07/01,00:40,0.0,23.1,2.2,135.0,3.8,135.0
135.013,34.7767,2012/07/01,00:50,0.0,23.1,1.7,135.0,3.6,135.0
135.013,34.7767,2012/07/01,01:00,0.0,23.0,1.8,157.5,2.8,157.5
135.013,34.7767,2012/07/01,01:10,0.0,23.1,1.9,157.5,3.4,135.0
135.013,34.7767,2012/07/01,01:20,0.0,23.0,1.8,157.5,3.4,157.5
135.013,34.7767,2012/07/01,01:30,0.0,23.2,1.5,157.5,3.2,157.5
135.013,34.7767,2012/07/01,01:40,0.0,23.1,2.4,157.5,4.2,157.5
135.013,34.7767,2012/07/01,01:50,0.0,23.3,3.1,180.0,4.8,180.0
135.013,34.7767,2012/07/01,02:00,1.0,23.1,1.8,180.0,3.3,202.5
135.013,34.7767,2012/07/01,02:10,0.5,22.9,2.0,157.5,3.7,157.5
135.013,34.7767,2012/07/01,02:20,0.0,22.9,2.1,135.0,3.3,135.0
135.013,34.7767,2012/07/01,02:30,0.0,22.9,1.0,112.5,2.6,135.0
135.013,34.7767,2012/07/01,02:40,0.0,23.0,1.5,135.0,3.4,157.5
135.013,34.7767,2012/07/01,02:50,0.0,23.1,2.4,135.0,4.5,112.5
135.013,34.7767,2012/07/01,03:00,0.0,23.1,1.8,135.0,3.6,135.0
135.013,34.7767,2012/07/01,03:10,0.0,23.3,2.6,135.0,4.2,157.5
135.013,34.7767,2012/07/01,03:20,0.0,23.4,3.4,135.0,6.1,135.0
135.013,34.7767,2012/07/01,03:30,0.0,23.2,3.6,135.0,6.0,135.0
135.013,34.7767,2012/07/01,03:40,0.0,23.3,3.7,157.5,6.5,157.5
135.013,34.7767,2012/07/01,03:50,0.0,23.4,3.8,157.5,6.0,135.0
135.013,34.7767,2012/07/01,04:00,0.0,23.6,3.8,157.5,7.8,135.0
135.013,34.7767,2012/07/01,04:10,0.0,23.5,2.8,157.5,5.7,135.0
135.013,34.7767,2012/07/01,04:20,0.0,23.7,3.5,157.5,6.2,180.0
135.013,34.7767,2012/07/01,04:30,0.0,23.6,4.1,157.5,8.1,157.5
135.013,34.7767,2012/07/01,04:40,0.0,23.4,3.6,157.5,8.1,135.0
135.013,34.7767,2012/07/01,04:50,0.5,23.5,3.7,157.5,7.3,157.5
135.013,34.7767,2012/07/01,05:00,0.0,23.4,3.4,157.5,5.7,157.5,0
135.013,34.7767,2012/07/01,05:10,0.0,23.4,3.6,157.5,6.3,180.0,0
135.013,34.7767,2012/07/01,05:20,0.0,23.3,4.5,157.5,7.0,180.0,0
135.013,34.7767,2012/07/01,05:30,0.5,23.2,4.3,180.0,7.7,157.5,0
135.013,34.7767,2012/07/01,05:40,3.0,23.1,4.7,157.5,7.9,180.0,0
135.013,34.7767,2012/07/01,05:50,0.5,23.1,4.7,157.5,8.1,157.5,0
135.013,34.7767,2012/07/01,06:00,0.0,23.1,4.1,157.5,6.6,157.5,0
135.013,34.7767,2012/07/01,06:10,0.0,23.1,2.9,157.5,4.7,157.5,0
135.013,34.7767,2012/07/01,06:20,1.5,23.1,2.6,180.0,5.6,180.0,0
135.013,34.7767,2012/07/01,06:30,0.5,23.1,2.9,157.5,5.2,180.0,0
135.013,34.7767,2012/07/01,06:40,0.0,23.1,2.6,157.5,4.6,180.0,0
135.013,34.7767,2012/07/01,06:50,0.5,23.1,2.5,157.5,4.3,157.5,0
135.013,34.7767,2012/07/01,07:00,1.5,23.3,3.6,135.0,6.7,135.0,0
135.013,34.7767,2012/07/01,07:10,0.5,23.2,3.6,157.5,6.2,135.0,0
135.013,34.7767,2012/07/01,07:20,0.0,23.4,4.1,157.5,6.3,157.5,0
135.013,34.7767,2012/07/01,07:30,0.0,23.4,4.0,157.5,7.3,157.5,0
135.013,34.7767,2012/07/01,07:40,0.5,23.6,5.0,157.5,9.7,180.0,0
135.013,34.7767,2012/07/01,07:50,0.0,23.6,5.4,157.5,9.5,157.5,0
135.013,34.7767,2012/07/01,08:00,0.0,23.5,5.0,157.5,9.4,157.5,0
135.013,34.7767,2012/07/01,08:10,0.0,23.5,4.6,180.0,8.2,157.5,0
135.013,34.7767,2012/07/01,08:20,0.0,23.7,4.8,180.0,7.8,180.0,0
135.013,34.7767,2012/07/01,08:30,0.0,23.7,5.2,180.0,8.0,180.0,0
135.013,34.7767,2012/07/01,08:40,0.0,23.7,4.4,180.0,7.7,157.5,0
135.013,34.7767,2012/07/01,08:50,0.5,23.7,5.2,157.5,9.0,135.0,0
135.013,34.7767,2012/07/01,09:00,0.0,23.7,6.1,157.5,10.0,157.5,0
135.013,34.7767,2012/07/01,09:10,0.0,24.0,5.5,157.5,8.9,157.5,0
135.013,34.7767,2012/07/01,09:20,0.0,24.1,4.6,157.5,8.5,180.0,0
