観測所番号 府県番号 地点コード 観測所名 経度 緯度
19311 19 1195 榊町 145.1100 43.1200
19346 19 96 阿寒 144.1233 43.1133
19347 19 1461 鶴丘 144.1917 43.0400
19376 19 1192 太田 144.7783 43.0900
19406 19 1107 二俣 143.8750 42.9717
19416 19 98 白糠 144.0617 42.9700
19432 19 47418 釧路 144.3767 42.9850
19451 19 1283 知方学 144.7350 42.9383
20047 20 1571 三股 143.1483 43.5100
20071 20 1404 小利別 143.6800 43.5883
20146 20 101 陸別 143.7383 43.4683
20186 20 103 ぬかびら源泉郷 143.1917 43.3667
20202 20 1409 柏倉 143.4583 43.3617
20222 20 1410 上螺湾 143.8017 43.3183
20266 20 107 上士幌 143.3033 43.2350
20276 20 109 足寄 143.5533 43.2433
20331 20 1405 押帯 143.4433 43.1150
20341 20 112 本別 143.6000 43.1317
20356 20 113 新得 142.8400 43.0767
20361 20 114 鹿追 142.9950 43.1033
20371 20 1204 駒場 143.1833 43.0500
20421 20 115 芽室 143.0433 42.9000
20432 20 47417 帯広 143.2117 42.9217
20432 20 47417 帯広 143.2233 42.9083
20441 20 117 池田 143.4583 42.9200
20451 20 1418 留真 143.6617 42.9167
20506 20 118 浦幌 143.6567 42.8083
20551 20 1510 帯広泉 143.2167 42.7333
20556 20 1286 糠内 143.3283 42.7867
20601 20 1210 上札内 143.0967 42.6417
20606 20 1211 更別 143.1900 42.6483
20631 20 1214 大津 143.6467 42.6850
20696 20 121 大樹 143.2750 42.5000
20751 20 47440 広尾 143.3150 42.2933
21031 21 123 安平 141.8283 42.8133
21111 21 124 厚真 141.8883 42.7300
21126 21 125 穂別 142.1433 42.7617
21161 21 1067 大滝 141.0783 42.6700
21171 21 126 森野 141.2467 42.6300
21187 21 47424 苫小牧 141.5467 42.6233
21226 21 128 大岸 140.6433 42.5900
21237 21 1329 洞爺湖温泉 140.8067 42.5650
21251 21 1429 カルルス 141.1067 42.5167
21261 21 130 白老 141.3517 42.5433
21276 21 131 鵡川 141.9333 42.5900
21297 21 132 伊達 140.8767 42.4733
21312 21 134 登別 141.1183 42.4583
